Community,Richness,p1,p2,p3,p4
1,1,1,0,0,0
1,1,1,0,0,0
1,1,1,0,0,0
2,1,0,1,0,0
2,1,0,1,0,0
2,1,0,1,0,0
3,1,0,0,1,0
3,1,0,0,1,0
3,1,0,0,1,0
4,1,0,0,0,1
4,1,0,0,0,1
4,1,0,0,0,1
5,2,0.5,0.5,0,0
5,2,0.5,0.5,0,0
5,2,0.5,0.5,0,0
6,2,0.5,0,0.5,0
6,2,0.5,0,0.5,0
6,2,0.5,0,0.5,0
7,2,0.5,0,0,0.5
7,2,0.5,0,0,0.5
7,2,0.5,0,0,0.5
8,2,0,0.5,0.5,0
8,2,0,0.5,0.5,0
8,2,0,0.5,0.5,0
9,2,0,0.5,0,0.5
9,2,0,0.5,0,0.5
9,2,0,0.5,0,0.5
10,2,0,0,0.5,0.5
10,2,0,0,0.5,0.5
10,2,0,0,0.5,0.5
11,3,0.333333333,0.333333333,0.333333333,0
11,3,0.333333333,0.333333333,0.333333333,0
11,3,0.333333333,0.333333333,0.333333333,0
12,3,0.333333333,0.333333333,0,0.333333333
12,3,0.333333333,0.333333333,0,0.333333333
12,3,0.333333333,0.333333333,0,0.333333333
13,3,0.333333333,0,0.333333333,0.333333333
13,3,0.333333333,0,0.333333333,0.333333333
13,3,0.333333333,0,0.333333333,0.333333333
14,3,0,0.333333333,0.333333333,0.333333333
14,3,0,0.333333333,0.333333333,0.333333333
14,3,0,0.333333333,0.333333333,0.333333333
15,4,0.9,0.033333333333,0.033333333333,0.033333333333
15,4,0.9,0.033333333333,0.033333333333,0.033333333333
15,4,0.9,0.033333333333,0.033333333333,0.033333333333
16,4,0.7,0.1,0.1,0.1
16,4,0.7,0.1,0.1,0.1
16,4,0.7,0.1,0.1,0.1
17,4,0.4,0.4,0.1,0.1
17,4,0.4,0.4,0.1,0.1
17,4,0.4,0.4,0.1,0.1
18,4,0.4,0.2,0.2,0.2
18,4,0.4,0.2,0.2,0.2
18,4,0.4,0.2,0.2,0.2
19,4,0.4,0.1,0.4,0.1
19,4,0.4,0.1,0.4,0.1
19,4,0.4,0.1,0.4,0.1
20,4,0.4,0.1,0.1,0.4
20,4,0.4,0.1,0.1,0.4
20,4,0.4,0.1,0.1,0.4
21,4,0.3,0.3,0.3,0.1
21,4,0.3,0.3,0.3,0.1
21,4,0.3,0.3,0.3,0.1
22,4,0.3,0.3,0.1,0.3
22,4,0.3,0.3,0.1,0.3
22,4,0.3,0.3,0.1,0.3
23,4,0.3,0.1,0.3,0.3
23,4,0.3,0.1,0.3,0.3
23,4,0.3,0.1,0.3,0.3
24,4,0.25,0.25,0.25,0.25
24,4,0.25,0.25,0.25,0.25
24,4,0.25,0.25,0.25,0.25
25,4,0.2,0.4,0.2,0.2
25,4,0.2,0.4,0.2,0.2
25,4,0.2,0.4,0.2,0.2
26,4,0.2,0.2,0.4,0.2
26,4,0.2,0.2,0.4,0.2
26,4,0.2,0.2,0.4,0.2
27,4,0.2,0.2,0.2,0.4
27,4,0.2,0.2,0.2,0.4
27,4,0.2,0.2,0.2,0.4
28,4,0.1,0.7,0.1,0.1
28,4,0.1,0.7,0.1,0.1
28,4,0.1,0.7,0.1,0.1
29,4,0.1,0.4,0.4,0.1
29,4,0.1,0.4,0.4,0.1
29,4,0.1,0.4,0.4,0.1
30,4,0.1,0.4,0.1,0.4
30,4,0.1,0.4,0.1,0.4
30,4,0.1,0.4,0.1,0.4
31,4,0.1,0.3,0.3,0.3
31,4,0.1,0.3,0.3,0.3
31,4,0.1,0.3,0.3,0.3
32,4,0.1,0.1,0.7,0.1
32,4,0.1,0.1,0.7,0.1
32,4,0.1,0.1,0.7,0.1
33,4,0.1,0.1,0.4,0.4
33,4,0.1,0.1,0.4,0.4
33,4,0.1,0.1,0.4,0.4
34,4,0.1,0.1,0.1,0.7
34,4,0.1,0.1,0.1,0.7
34,4,0.1,0.1,0.1,0.7
35,4,0.033333333333,0.9,0.033333333333,0.033333333333
35,4,0.033333333333,0.9,0.033333333333,0.033333333333
35,4,0.033333333333,0.9,0.033333333333,0.033333333333
36,4,0.033333333333,0.033333333333,0.9,0.033333333333
36,4,0.033333333333,0.033333333333,0.9,0.033333333333
36,4,0.033333333333,0.033333333333,0.9,0.033333333333
37,4,0.033333333333,0.033333333333,0.033333333333,0.9
37,4,0.033333333333,0.033333333333,0.033333333333,0.9
37,4,0.033333333333,0.033333333333,0.033333333333,0.9
